Tipo de instancia,CPU virtuales,Núcleos,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Rendimiento de la red,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
r6i.8xlarge,32,16,3.5,256,-,12.5 Gigabit,2.368 USD por hora,3.84 USD por hora,2.493 USD por hora,2.498 USD por hora
r6i.12xlarge,48,24,3.5,384,-,18.75 Gigabit,3.552 USD por hora,5.76 USD por hora,3.677 USD por hora,3.682 USD por hora
r6i.16xlarge,64,32,3.5,512,-,25 Gigabit,4.736 USD por hora,7.68 USD por hora,4.861 USD por hora,4.866 USD por hora
r6i.24xlarge,96,48,3.5,768,-,37.5 Gigabit,7.104 USD por hora,11.52 USD por hora,7.229 USD por hora,7.234 USD por hora
r6i.32xlarge,128,64,3.5,1024,-,50 Gigabit,9.472 USD por hora,15.36 USD por hora,9.597 USD por hora,9.602 USD por hora
r6i.metal,128,64,3.5,1024,-,50 Gigabit,9.472 USD por hora,15.36 USD por hora,9.597 USD por hora,9.602 USD por hora
r6id.large,2,1,3.5,16,118,12.5 Gigabit,0.17745 USD por hora,0.26945 USD por hora,0.23375 USD por hora,0.23745 USD por hora
r6id.xlarge,4,2,3.5,32,237,12.5 Gigabit,0.3549 USD por hora,0.5389 USD por hora,0.4112 USD por hora,0.4149 USD por hora
r6id.2xlarge,8,4,3.5,64,474,12.5 Gigabit,0.7098 USD por hora,1.0778 USD por hora,0.8348 USD por hora,0.8398 USD por hora
r6id.4xlarge,16,8,3.5,128,950,12.5 Gigabit,1.4196 USD por hora,2.1556 USD por hora,1.5446 USD por hora,1.5496 USD por hora
r6id.8xlarge,32,16,3.5,256,1900,12.5 Gigabit,2.8392 USD por hora,4.3112 USD por hora,2.9642 USD por hora,2.9692 USD por hora
r6id.12xlarge,48,24,3.5,384,2850,18.75 Gigabit,4.2588 USD por hora,6.4668 USD por hora,4.3838 USD por hora,4.3888 USD por hora
r6id.16xlarge,64,32,3.5,512,3800,25 Gigabit,5.6784 USD por hora,8.6224 USD por hora,5.8034 USD por hora,5.8084 USD por hora
r6id.24xlarge,96,48,3.5,768,5700,37.5 Gigabit,8.5176 USD por hora,12.9336 USD por hora,8.6426 USD por hora,8.6476 USD por hora
r6id.32xlarge,128,64,3.5,1024,7600,50 Gigabit,11.3568 USD por hora,17.2448 USD por hora,11.4818 USD por hora,11.4868 USD por hora
r6id.metal,128,64,3.5,1024,7600,50 Gigabit,11.3568 USD por hora,17.2448 USD por hora,11.4818 USD por hora,11.4868 USD por hora
r7g.medium,1,1,2.6,8,-,12.5 Gigabit,0.0629 USD por hora,,0.1192 USD por hora,0.1229 USD por hora
r7g.large,2,2,2.6,16,-,12.5 Gigabit,0.1258 USD por hora,,0.1821 USD por hora,0.1858 USD por hora
r7g.xlarge,4,4,2.6,32,-,12.5 Gigabit,0.2516 USD por hora,,0.3079 USD por hora,0.3116 USD por hora
r7g.2xlarge,8,8,2.6,64,-,15 Gigabit,0.5032 USD por hora,,0.6282 USD por hora,0.6332 USD por hora
r7g.4xlarge,16,16,2.6,128,-,15 Gigabit,1.0064 USD por hora,,1.1314 USD por hora,1.1364 USD por hora
r7g.8xlarge,32,32,2.6,256,-,15 Gigabit,2.0128 USD por hora,,2.1378 USD por hora,2.1428 USD por hora
r7g.12xlarge,48,48,2.6,384,-,22.5 Gigabit,3.0192 USD por hora,,3.1442 USD por hora,3.1492 USD por hora
r7g.16xlarge,64,64,2.6,512,-,30 Gigabit,4.0256 USD por hora,,4.1506 USD por hora,4.1556 USD por hora
r7g.metal,64,64,2.6,512,-,30 Gigabit,4.0256 USD por hora,,4.1506 USD por hora,4.1556 USD por hora
r7i.large,2,1,3.2,16,-,12.5 Gigabit,0.1554 USD por hora,0.2474 USD por hora,0.2117 USD por hora,0.2154 USD por hora
r7i.xlarge,4,2,3.2,32,-,12.5 Gigabit,0.3108 USD por hora,0.4948 USD por hora,0.3671 USD por hora,0.3708 USD por hora
r7i.2xlarge,8,4,3.2,64,-,12.5 Gigabit,0.6216 USD por hora,0.9896 USD por hora,0.7466 USD por hora,0.7516 USD por hora
r7i.4xlarge,16,8,3.2,128,-,12.5 Gigabit,1.2432 USD por hora,1.9792 USD por hora,1.3682 USD por hora,1.3732 USD por hora
r7i.8xlarge,32,16,3.2,256,-,12.5 Gigabit,2.4864 USD por hora,3.9584 USD por hora,2.6114 USD por hora,2.6164 USD por hora
r7i.12xlarge,48,24,3.2,384,-,18.75 Gigabit,3.7296 USD por hora,5.9376 USD por hora,3.8546 USD por hora,3.8596 USD por hora
r7i.16xlarge,64,32,3.2,512,-,25 Gigabit,4.9728 USD por hora,7.9168 USD por hora,5.0978 USD por hora,5.1028 USD por hora
r7i.24xlarge,96,48,3.2,768,-,37.5 Gigabit,7.4592 USD por hora,11.8752 USD por hora,7.5842 USD por hora,7.5892 USD por hora
r7i.48xlarge,192,96,3.2,1536,-,50 Gigabit,14.9184 USD por hora,23.7504 USD por hora,15.0434 USD por hora,15.0484 USD por hora
r7i.metal-24xl,96,48,3.2,768,-,37.5 Gigabit,7.4592 USD por hora,11.8752 USD por hora,7.5842 USD por hora,7.5892 USD por hora
r7i.metal-48xl,192,96,3.2,1536,-,50 Gigabit,14.9184 USD por hora,23.7504 USD por hora,15.0434 USD por hora,15.0484 USD por hora
t3a.nano,2,1,2.2,0.5,-,5 Gigabit,0.0053 USD por hora,0.0099 USD por hora,0.0053 USD por hora,
t3a.micro,2,1,2.2,1,-,5 Gigabit,0.0106 USD por hora,0.0198 USD por hora,0.0106 USD por hora,0.0706 USD por hora
t3a.small,2,1,2.2,2,-,5 Gigabit,0.0212 USD por hora,0.0396 USD por hora,0.0522 USD por hora,0.0812 USD por hora
t3a.medium,2,1,2.2,4,-,5 Gigabit,0.0425 USD por hora,0.0609 USD por hora,0.0988 USD por hora,0.1025 USD por hora
t3a.large,2,1,2.2,8,-,5 Gigabit,0.085 USD por hora,0.1126 USD por hora,0.1413 USD por hora,0.145 USD por hora
t3a.xlarge,4,2,2.2,16,-,5 Gigabit,0.1699 USD por hora,0.2435 USD por hora,0.2262 USD por hora,0.2299 USD por hora
t3a.2xlarge,8,4,2.2,32,-,5 Gigabit,0.3398 USD por hora,0.487 USD por hora,0.4648 USD por hora,0.4698 USD por hora
t4g.nano,2,2,2.5,0.5,-,5 Gigabit,0.0047 USD por hora,,0.0047 USD por hora,
t4g.micro,2,2,2.5,1,-,5 Gigabit,0.0094 USD por hora,,0.0094 USD por hora,0.0694 USD por hora
t4g.small,2,2,2.5,2,-,5 Gigabit,0.0188 USD por hora,,0.0501 USD por hora,0.0788 USD por hora
t4g.medium,2,2,2.5,4,-,5 Gigabit,0.0376 USD por hora,,0.0939 USD por hora,0.0976 USD por hora
t4g.large,2,2,2.5,8,-,5 Gigabit,0.0752 USD por hora,,0.1315 USD por hora,0.1352 USD por hora
t4g.xlarge,4,4,2.5,16,-,5 Gigabit,0.1504 USD por hora,,0.2067 USD por hora,0.2104 USD por hora
t4g.2xlarge,8,8,2.5,32,-,5 Gigabit,0.3008 USD por hora,,0.4258 USD por hora,0.4308 USD por hora
u-6tb1.56xlarge,224,224,2.1,6144,-,100 Gigabit,54.50589 USD por hora,64.80989 USD por hora,54.63089 USD por hora,54.63589 USD por hora
u-6tb1.112xlarge,448,224,2.1,6144,-,100 Gigabit,64.133 USD por hora,84.741 USD por hora,64.258 USD por hora,64.263 USD por hora
u-9tb1.112xlarge,448,224,2.1,9216,-,100 Gigabit,96.2 USD por hora,116.808 USD por hora,96.325 USD por hora,96.33 USD por hora
x1.16xlarge,64,32,2.3,976,1920,10 Gigabit,8.403 USD por hora,11.347 USD por hora,8.503 USD por hora,8.533 USD por hora
x1.32xlarge,128,64,2.3,1952,3840,25 Gigabit,16.806 USD por hora,22.694 USD por hora,16.906 USD por hora,16.936 USD por hora
x2idn.16xlarge,64,32,3.5,1024,1900,50 Gigabit,8.403 USD por hora,11.347 USD por hora,8.528 USD por hora,8.533 USD por hora
x2idn.24xlarge,96,48,3.5,1536,2850,75 Gigabit,12.6045 USD por hora,17.0205 USD por hora,12.7295 USD por hora,12.7345 USD por hora
x2idn.32xlarge,128,64,3.5,2048,3800,100 Gigabit,16.806 USD por hora,22.694 USD por hora,16.931 USD por hora,16.936 USD por hora
x2idn.metal,128,64,3.5,2048,3800,100 Gigabit,16.806 USD por hora,22.694 USD por hora,16.931 USD por hora,16.936 USD por hora
x2iedn.xlarge,4,2,3.5,128,118,25 Gigabit,1.05038 USD por hora,1.23438 USD por hora,1.10668 USD por hora,1.11038 USD por hora
x2iedn.2xlarge,8,4,3.5,256,237,25 Gigabit,2.10075 USD por hora,2.46875 USD por hora,2.22575 USD por hora,2.23075 USD por hora
x2iedn.4xlarge,16,8,3.5,512,475,25 Gigabit,4.2015 USD por hora,4.9375 USD por hora,4.3265 USD por hora,4.3315 USD por hora
x2iedn.8xlarge,32,16,3.5,1024,950,25 Gigabit,8.403 USD por hora,9.875 USD por hora,8.528 USD por hora,8.533 USD por hora
x2iedn.16xlarge,64,32,3.5,2048,1900,50 Gigabit,16.806 USD por hora,19.75 USD por hora,16.931 USD por hora,16.936 USD por hora
x2iedn.24xlarge,96,48,3.5,3072,2850,75 Gigabit,25.209 USD por hora,29.625 USD por hora,25.334 USD por hora,25.339 USD por hora
x2iedn.32xlarge,128,64,3.5,4096,3800,100 Gigabit,33.612 USD por hora,39.5 USD por hora,33.737 USD por hora,33.742 USD por hora
x2iedn.metal,128,64,3.5,4096,3800,100 Gigabit,33.612 USD por hora,39.5 USD por hora,33.737 USD por hora,33.742 USD por hora
z1d.large,2,1,4,16,75,10 Gigabit,0.22 USD por hora,0.312 USD por hora,0.276 USD por hora,0.28 USD por hora
z1d.xlarge,4,2,4,32,150,10 Gigabit,0.439 USD por hora,0.623 USD por hora,0.496 USD por hora,0.499 USD por hora
z1d.2xlarge,8,4,4,64,300,10 Gigabit,0.879 USD por hora,1.247 USD por hora,1.004 USD por hora,1.009 USD por hora
z1d.3xlarge,12,6,4,96,450,10 Gigabit,1.318 USD por hora,1.87 USD por hora,1.443 USD por hora,1.448 USD por hora
z1d.6xlarge,24,12,4,192,900,12 Gigabit,2.636 USD por hora,3.74 USD por hora,2.761 USD por hora,2.766 USD por hora
z1d.12xlarge,48,24,4,384,1800,25 Gigabit,5.273 USD por hora,7.481 USD por hora,5.398 USD por hora,5.403 USD por hora
z1d.metal,48,24,4,384,1800,25 Gigabit,5.273 USD por hora,7.481 USD por hora,5.398 USD por hora,5.403 USD por hora
