Tipo de instancia,Familia de instancias,Tamaño de instancia,Zonas de disponibilidad,Elegible para la capa gratuita,Prueba gratuita disponible,Sin sistema operativo,Hipervisor,CPU virtuales,Arquitectura,Núcleos,Núcleos válidos,Subprocesos por núcleo,Subprocesos válidos por núcleo,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Almacenamiento local de la instancia,Tipo de almacenamiento,Recuento de discos de almacenamiento,Compatibilidad con el cifrado de EBS,Compatibilidad con la optimización de EBS,Rendimiento de la red,Compatibilidad con ENA,Cantidad máxima de interfaces de red,Direcciones IPv4 por interfaz,Direcciones IPv6 por interfaz,Compatibilidad con IPv6,Estrategias de grupos de ubicación admitidas,GPU,FPGA,Compatibilidad con la recuperación automática,Tipos de dispositivos raíz admitidas,Compatibilidad con los alojamientos dedicados,Compatibilidad con la hibernación bajo demanda,Compatibilidad con el rendimiento ampliable en ráfagas,Generación actual,Compatibilidad con ENA Express,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
c5a.12xlarge,c5a,12xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,48,x86_64,24,"1,2,3,4,8,12,16,20,24",2,"1,2",3.3,96,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,2.184 USD por hora,4.392 USD por hora,2.309 USD por hora,2.314 USD por hora
c5a.16xlarge,c5a,16xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,64,x86_64,32,"1,2,3,4,8,12,16,20,24,28,32",2,"1,2",3.3,128,-,-,-,-,supported,default,20 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,2.912 USD por hora,5.856 USD por hora,3.037 USD por hora,3.042 USD por hora
c5a.24xlarge,c5a,24xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,96,x86_64,48,"1,2,3,4,8,12,16,20,24,28,32,36,40,44,48",2,"1,2",3.3,192,-,-,-,-,supported,default,20 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,4.368 USD por hora,8.784 USD por hora,4.493 USD por hora,4.498 USD por hora
c5d.large,c5d,large,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",3.4,4,50,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.115 USD por hora,0.207 USD por hora,0.171 USD por hora,0.175 USD por hora
c5d.xlarge,c5d,xlarge,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,4,x86_64,2,2,2,"1,2",3.4,8,100,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.23 USD por hora,0.414 USD por hora,0.286 USD por hora,0.29 USD por hora
c5d.2xlarge,c5d,2xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,16,200,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.46 USD por hora,0.828 USD por hora,0.56 USD por hora,0.59 USD por hora
c5d.4xlarge,c5d,4xlarge,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,400,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.92 USD por hora,1.656 USD por hora,1.02 USD por hora,1.05 USD por hora
c5d.9xlarge,c5d,9xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,900,verdadero,ssd,1,supported,default,12 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,2.07 USD por hora,3.726 USD por hora,2.17 USD por hora,2.2 USD por hora
c5d.12xlarge,c5d,12xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,1800,verdadero,ssd,2,supported,default,12 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,-,verdadero,-,verdadero,false,2.76 USD por hora,4.968 USD por hora,2.86 USD por hora,2.89 USD por hora
c5d.18xlarge,c5d,18xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,1800,verdadero,ssd,2,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,4.14 USD por hora,7.452 USD por hora,4.24 USD por hora,4.27 USD por hora
c5d.24xlarge,c5d,24xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,3600,verdadero,ssd,4,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,-,-,-,verdadero,false,5.52 USD por hora,9.936 USD por hora,5.62 USD por hora,5.65 USD por hora
c5d.metal,c5d,metal,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,verdadero,,96,x86_64,48,-,2,-,3.6,192,3600,verdadero,ssd,4,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,-,-,-,verdadero,false,5.52 USD por hora,9.936 USD por hora,5.62 USD por hora,5.65 USD por hora
c5n.large,c5n,large,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",3.4,5.3,-,-,-,-,supported,default,Up to 25 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.128 USD por hora,0.22 USD por hora,0.184 USD por hora,0.188 USD por hora
c5n.xlarge,c5n,xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,4,x86_64,2,2,2,"1,2",3.4,10.5,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.256 USD por hora,0.44 USD por hora,0.312 USD por hora,0.316 USD por hora
c5n.2xlarge,c5n,2xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,21,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.512 USD por hora,0.88 USD por hora,0.637 USD por hora,0.642 USD por hora
c5n.4xlarge,c5n,4xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,42,-,-,-,-,supported,default,Up to 25 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,1.024 USD por hora,1.76 USD por hora,1.149 USD por hora,1.154 USD por hora
c5n.9xlarge,c5n,9xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,96,-,-,-,-,supported,default,50 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,2.304 USD por hora,3.96 USD por hora,2.429 USD por hora,2.434 USD por hora
c5n.18xlarge,c5n,18xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,192,-,-,-,-,supported,default,100 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,4.608 USD por hora,7.92 USD por hora,4.733 USD por hora,4.738 USD por hora
c5n.metal,c5n,metal,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,verdadero,,72,x86_64,36,-,2,-,3.4,192,-,-,-,-,supported,default,100 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,4.608 USD por hora,7.92 USD por hora,4.733 USD por hora,4.738 USD por hora
c6a.large,c6a,large,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",3.6,4,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.0909 USD por hora,0.1829 USD por hora,0.1472 USD por hora,0.1509 USD por hora
